delta,theta,low_a,high_a,low_b,high_b,low_g,high_g,att,med,chksum,total,,dfrac,tfrac,lafrac,hafrac,lbfrac,hbfrac,lgfrac,hgfrac
97224,212072,21963,4790,5376,3455,4555,1394,8,56,82,350829,,0.27713,0.60449,0.062603,0.013653,0.015324,0.0098481,0.012984,0.0039734
11692,55616,24350,5421,7107,13131,5137,837,21,53,149,123291,,0.094833,0.45110,0.19750,0.043969,0.057644,0.10650,0.041666,0.0067888
228094,55773,16401,19002,14284,11820,1653,1319,21,53,210,348346,,0.65479,0.16011,0.047082,0.054549,0.041005,0.033932,0.0047453,0.0037865
616543,16353,8450,2578,2414,1380,858,593,21,53,54,649169,,0.94974,0.025191,0.013017,0.0039712,0.0037186,0.0021258,0.0013217,0.00091348
856097,18545,14446,8768,3014,1955,1482,676,26,63,17,904983,,0.94598,0.020492,0.015963,0.0096886,0.0033304,0.0021603,0.0016376,0.00074698
555173,188093,56710,39860,12488,18228,5291,5827,44,78,96,881670,,0.62968,0.21334,0.064321,0.045210,0.014164,0.020674,0.0060011,0.0066090
197388,60474,19304,33253,8409,5369,2636,5068,56,100,49,331901,,0.59472,0.18220,0.058162,0.10019,0.025336,0.016177,0.0079421,0.015270
30544,40185,3471,1867,277,1924,680,568,44,84,10,79516,,0.38412,0.50537,0.043652,0.023480,0.0034836,0.024196,0.0085517,0.0071432
124151,9538,5856,7796,7489,2493,2582,1617,51,80,112,161522,,0.76863,0.059051,0.036255,0.048266,0.046365,0.015434,0.015985,0.010011

,,,,,,,,,,,,,delta,theta,lowA,highA,lowB,highB,lowG,highG
,,,,,,,,,,,,,0.68679,0.20078,0.038914,0.029540,0.019455,0.012267,0.0067431,0.0055036

,,,,,,,,,,,,,meditation levels not high enough
